"Effect","DFn","DFd","F","p","p<.05","ges"
"N",3,383616,9908.035,0,"*",0.065
"br",5,383616,461.326,0,"*",0.005
"bm2m1",3,383616,0.462,0.709,"",3.23e-06
"by2y1",3,383616,0.649,0.584,"",4.54e-06
"Model",1.27,486241.83,201000.386,0,"*",0.052
"N:br",15,383616,27.402,3.69e-78,"*",0.000957
"N:bm2m1",9,383616,0.485,0.886,"",1.02e-05
"br:bm2m1",15,383616,1.216,0.25,"",4.25e-05
"N:by2y1",9,383616,0.651,0.754,"",1.37e-05
"br:by2y1",15,383616,1.059,0.39,"",3.7e-05
"bm2m1:by2y1",9,383616,1.746,0.073,"",3.66e-05
"N:Model",3.8,486241.83,12905.745,0,"*",0.011
"br:Model",6.34,486241.83,2616.695,0,"*",0.004
"bm2m1:Model",3.8,486241.83,0.468,0.75,"",3.87e-07
"by2y1:Model",3.8,486241.83,1.584,0.178,"",1.31e-06
"N:br:bm2m1",45,383616,0.756,0.884,"",7.94e-05
"N:br:by2y1",45,383616,0.87,0.718,"",9.12e-05
"N:bm2m1:by2y1",27,383616,1.135,0.286,"",7.14e-05
"br:bm2m1:by2y1",45,383616,1.19,0.179,"",0.000125
"N:br:Model",19.01,486241.83,145.452,0,"*",0.000601
"N:bm2m1:Model",11.41,486241.83,0.618,0.821,"",1.53e-06
"br:bm2m1:Model",19.01,486241.83,1.473,0.083,"",6.09e-06
"N:by2y1:Model",11.41,486241.83,0.925,0.517,"",2.29e-06
"br:by2y1:Model",19.01,486241.83,0.738,0.783,"",3.05e-06
"bm2m1:by2y1:Model",11.41,486241.83,1.745,0.055,"",4.33e-06
"N:br:bm2m1:by2y1",135,383616,1.097,0.207,"",0.000345
"N:br:bm2m1:Model",57.04,486241.83,0.967,0.547,"",1.2e-05
"N:br:by2y1:Model",57.04,486241.83,0.824,0.826,"",1.02e-05
"N:bm2m1:by2y1:Model",34.22,486241.83,1.101,0.314,"",8.19e-06
"br:bm2m1:by2y1:Model",57.04,486241.83,1.07,0.334,"",1.33e-05
"N:br:bm2m1:by2y1:Model",171.12,486241.83,1.123,0.129,"",4.18e-05
