"Effect","DFn","DFd","F","p","p<.05","ges"
"N",3,383616,165.952,1.63e-107,"*",0.001
"br",5,383616,513.217,0,"*",0.006
"bm2m1",3,383616,0.081,0.971,"",6.1e-07
"by2y1",3,383616,1.049,0.369,"",7.95e-06
"Model",1.32,507844.22,1778348.271,0,"*",0.127
"N:br",15,383616,1.194,0.267,"",4.52e-05
"N:bm2m1",9,383616,0.611,0.789,"",1.39e-05
"br:bm2m1",15,383616,1.329,0.174,"",5.03e-05
"N:by2y1",9,383616,1.093,0.364,"",2.48e-05
"br:by2y1",15,383616,1.077,0.372,"",4.08e-05
"bm2m1:by2y1",9,383616,1.539,0.128,"",3.5e-05
"N:Model",3.97,507844.22,163.016,9.6e-139,"*",3.98e-05
"br:Model",6.62,507844.22,8161.111,0,"*",0.003
"bm2m1:Model",3.97,507844.22,1.452,0.214,"",3.55e-07
"by2y1:Model",3.97,507844.22,0.62,0.647,"",1.52e-07
"N:br:bm2m1",45,383616,0.792,0.84,"",9e-05
"N:br:by2y1",45,383616,1.062,0.361,"",0.000121
"N:bm2m1:by2y1",27,383616,1.175,0.243,"",8.01e-05
"br:bm2m1:by2y1",45,383616,0.97,0.528,"",0.00011
"N:br:Model",19.86,507844.22,2.468,0.000286,"*",3.02e-06
"N:bm2m1:Model",11.91,507844.22,0.776,0.675,"",5.69e-07
"br:bm2m1:Model",19.86,507844.22,1.135,0.304,"",1.39e-06
"N:by2y1:Model",11.91,507844.22,0.713,0.739,"",5.23e-07
"br:by2y1:Model",19.86,507844.22,0.814,0.698,"",9.95e-07
"bm2m1:by2y1:Model",11.91,507844.22,0.99,0.455,"",7.26e-07
"N:br:bm2m1:by2y1",135,383616,1.003,0.474,"",0.000342
"N:br:bm2m1:Model",59.57,507844.22,1.099,0.28,"",4.03e-06
"N:br:by2y1:Model",59.57,507844.22,1.261,0.085,"",4.62e-06
"N:bm2m1:by2y1:Model",35.74,507844.22,1.096,0.318,"",2.41e-06
"br:bm2m1:by2y1:Model",59.57,507844.22,1.034,0.403,"",3.79e-06
"N:br:bm2m1:by2y1:Model",178.72,507844.22,0.9,0.828,"",9.9e-06
